DATE,INDPRO_actual,INDPRO_fitted,residual
1990-01-01,61.729,68.94233675720056,-7.213336757200565
1990-02-01,62.2896,69.38426424733953,-7.09466424733953
1990-03-01,62.5999,69.6982259787191,-7.098325978719096
1990-04-01,62.4359,68.81437099844115,-6.378470998441152
1990-05-01,62.6258,69.15561302179958,-6.529813021799583
1990-06-01,62.8382,69.6555707257993,-6.817370725799293
1990-07-01,62.7284,68.79899603750022,-6.070596037500216
1990-08-01,62.9475,67.91514105722229,-4.967641057222288
1990-09-01,62.9523,66.64738880066612,-3.69508880066612
1990-10-01,62.5845,67.03128607694435,-4.446786076944356
1990-11-01,61.7887,66.85719543536214,-5.068495435362145
1990-12-01,61.3352,68.50537533829355,-7.1701753382935465
1991-01-01,61.1355,69.72700271202692,-8.591502712026916
1991-02-01,60.6838,71.5730839186164,-10.889283918616407
1991-03-01,60.3346,71.15843672045631,-10.823836720456306
1991-04-01,60.4938,72.53877977483094,-12.044979774830942
1991-05-01,61.0633,72.12413257667083,-11.060832576670833
1991-06-01,61.5581,71.6122695416332,-10.054169541633193
1991-07-01,61.7305,72.43809430805041,-10.70759430805041
1991-08-01,61.7298,72.6359956117085,-10.906195611708497
1991-09-01,62.2195,73.53175592302435,-11.312255923024352
1991-10-01,62.1855,74.07089925004088,-11.885399250040884
1991-11-01,62.0871,75.77710936683302,-13.690009366833017
1991-12-01,61.7852,75.94426074860922,-14.159060748609221
1992-01-01,61.4616,77.65047086540136,-16.188870865401363
1992-02-01,61.8955,77.03792236358319,-15.142422363583194
1992-03-01,62.4232,77.37916438694161,-14.95596438694161
1992-04-01,62.897,78.44554570993671,-15.548545709936711
1992-05-01,63.104,77.09248294754093,-13.98848294754093
1992-06-01,63.1363,76.3792489789422,-13.242948978942202
1992-07-01,63.7176,79.03924962091097,-15.321649620910968
1992-08-01,63.3613,79.31055609937073,-15.949256099370729
1992-09-01,63.5703,79.65179812272913,-16.08149812272913
1992-10-01,63.9995,81.61740938694311,-17.61790938694311
1992-11-01,64.2422,81.17548189680413,-16.933281896804132
1992-12-01,64.3507,81.9006211964408,-17.549921196440792
1993-01-01,64.5978,81.95865141030154,-17.360851410301535
1993-02-01,64.9089,82.88516164349926,-17.976261643499257
1993-03-01,64.8522,83.19912337487884,-18.34692337487884
1993-04-01,65.0301,83.1837484139379,-18.1536484139379
1993-05-01,64.784,83.01312740225868,-18.22912740225867
1993-06-01,64.9301,83.32708913363824,-18.396989133638243
1993-07-01,65.1052,83.7263613708574,-18.621161370857408
1993-08-01,65.0267,84.33890987267559,-19.31220987267558
1993-09-01,65.3717,84.56756109821553,-19.19586109821553
1993-10-01,65.8509,84.5095308843548,-18.658630884354807
1993-11-01,66.1518,85.35073061171295,-19.198930611712953
1993-12-01,66.5436,86.09124487229053,-19.547644872290533
1994-01-01,66.7351,85.22276485295353,-18.48766485295353
1994-02-01,66.774,84.36965979455746,-17.595659794557463
1994-03-01,67.4552,84.470345261338,-17.01514526133799
1994-04-01,67.8541,84.01651244016108,-16.162412440161077
1994-05-01,68.1663,83.55077428794625,-15.384474287946247
1994-06-01,68.6265,82.52704821787097,-13.900548217870977
1994-07-01,68.7178,82.48439296495116,-13.766592964951158
1994-08-01,69.1785,82.07321539669405,-12.894715396694053
1994-09-01,69.3961,81.44876156383795,-12.052661563837944
1994-10-01,69.9544,81.8053785481373,-11.850978548137292
1994-11-01,70.4326,80.51381562950526,-10.081215629505266
1994-12-01,71.1523,80.31591432584716,-9.163614325847163
1995-01-01,71.2734,79.49008955942998,-8.21668955942998
1995-02-01,71.193,78.79570018167519,-7.602700181675189
1995-03-01,71.3113,78.53976866415636,-7.2284686641563525
1995-04-01,71.1882,76.30285092148264,-5.114650921482649
1995-05-01,71.5378,77.44263741927941,-5.904837419279403
1995-06-01,71.7749,77.48529267219921,-5.710392672199205
1995-07-01,71.4748,77.64053872293749,-6.1657387229374905
1995-08-01,72.4223,78.10974650505534,-5.687446505055334
1995-09-01,72.7144,78.33839773059528,-5.623997730595278
1995-10-01,72.5866,78.99360148533327,-6.407001485333268
1995-11-01,72.7779,78.33839773059528,-5.560497730595273
1995-12-01,73.0305,79.19150278899134,-6.16100278899134
1996-01-01,72.6125,79.36212380067056,-6.7496238006705624
1996-02-01,73.6752,81.29698514300264,-7.62178514300264
1996-03-01,73.585,80.91308786672442,-7.328087866724431
1996-04-01,74.3172,80.81240239994388,-6.495202399943878
1996-05-01,74.8726,80.72709189410428,-5.854491894104271
1996-06-01,75.4433,82.05287436452119,-6.609574364521194
1996-07-01,75.4549,80.52919059044618,-5.074290590446182
1996-08-01,75.8411,83.23531611523774,-7.3942161152377395
1996-09-01,76.3158,82.40949134882055,-6.093691348820556
1996-10-01,76.3384,82.66542286633937,-6.327022866339377
1996-11-01,77.0397,81.3976706097832,-4.357970609783209
1996-12-01,77.5333,81.4829811156228,-3.949681115622809
1997-01-01,77.6562,82.13818487036079,-4.48198487036079
1997-02-01,78.5833,82.87869913093839,-4.295399130938392
1997-03-01,79.082,82.02559407254232,-2.943594072542325
1997-04-01,79.1747,81.99831378056345,-2.8236137805634485
1997-05-01,79.6133,83.01013451960078,-3.3968345196007874
1997-06-01,79.9792,82.2696202590232,-2.2904202590231932
1997-07-01,80.6624,82.92482401376118,-2.2624240137611764
1997-08-01,81.4694,83.32409625098036,-1.8546962509803677
1997-09-01,82.2156,82.83951350792158,-0.6239135079215856
1997-10-01,82.9446,83.97930000571833,-1.034700005718335
1997-11-01,83.5978,84.37857224293751,-0.7807722429375019
1997-12-01,83.9538,83.97930000571833,-0.02550000571832811
1998-01-01,84.3218,84.20795123125829,0.11384876874170402
1998-02-01,84.4583,84.42122749585731,0.03707250414268515
1998-03-01,84.488,84.02195525863814,0.4660447413618556
1998-04-01,84.7779,86.13090724255244,-1.3530072425524367
1998-05-01,85.3367,85.47570348781446,-0.13900348781446326
1998-06-01,84.8248,84.69253397431706,0.132266025682938
1998-07-01,84.4986,84.77784448015667,-0.27924448015667735
1998-08-01,86.248,84.73518922723686,1.512810772763146
1998-09-01,86.2021,84.42122749585731,1.7808725041426925
1998-10-01,86.7914,86.78264136738743,0.008758632612568817
1998-11-01,86.7256,88.29095018052149,-1.5653501805214916
1998-12-01,87.1185,88.93077897431854,-1.812278974318545
1999-01-01,87.4949,89.62863798197634,-2.1337379819763385
1999-02-01,88.027,88.58953695096011,-0.5625369509601086
1999-03-01,88.2267,89.34542617247864,-1.1187261724786453
1999-04-01,88.4295,89.15943019985849,-0.7299301998584866
1999-05-01,88.9886,89.64401294291726,-0.6554129429172519
1999-06-01,88.9188,89.07411969401889,-0.15531969401888546
1999-07-01,89.4333,88.0930488768634,1.3402511231365963
1999-08-01,89.7924,88.23638959656374,1.556010403436261
1999-09-01,89.4299,87.59656080276669,1.8333391972333146
1999-10-01,90.523,88.16645405166508,2.3565459483349116
1999-11-01,90.9618,87.2280384874294,3.733761512570595
1999-12-01,91.6634,88.22448426552582,3.438915734474179
2000-01-01,91.538,87.58465547172875,3.953344528271245
2000-02-01,91.8239,85.90572564691549,5.91817435308451
2000-03-01,92.1504,85.87844535493662,6.2719546450633885
2000-04-01,92.6989,86.12247154141751,6.576428458582484
2000-05-01,92.9499,84.08692473230488,8.86297526769512
2000-06-01,92.9862,82.97788815638998,10.008311843610016
2000-07-01,92.8048,82.93523290347018,9.86956709652982
2000-08-01,92.5521,82.62127117209063,9.930828827909366
2000-09-01,92.9792,83.50512615236856,9.474073847631445
2000-10-01,92.6179,83.54778140528836,9.070118594711644
2000-11-01,92.6438,83.54778140528836,9.096018594711637
2000-12-01,92.3415,84.01698918740621,8.324510812593786
2001-01-01,91.902,84.35476158086162,7.547238419138381
2001-02-01,91.3034,86.444868973932,4.858531026067993
2001-03-01,91.1162,86.7280807834297,4.388119216570303
2001-04-01,90.7891,88.4189159392809,2.3701840607191116
2001-05-01,90.3555,91.42015860460808,-1.06465860460807
2001-06-01,89.8784,91.47471918856583,-1.596319188565829
2001-07-01,89.3028,91.84324150390313,-2.540441503903125
2001-08-01,89.2003,90.90135630976444,-1.7010563097644393
2001-09-01,88.7485,92.89077823605429,-4.142278236054281
2001-10-01,88.5052,93.91103467622656,-5.405834676226561
2001-11-01,87.97,94.64807930690117,-6.678079306901168
2001-12-01,87.9324,94.83060564961832,-6.898205649618319
2002-01-01,88.5176,95.21450292589655,-6.696902925896552
2002-02-01,88.5278,95.17184767297674,-6.64404767297674
2002-03-01,89.1686,95.21450292589655,-6.045902925896556
2002-04-01,89.604,94.16002693393939,-4.556026933939393
2002-05-01,89.964,94.64460967699816,-4.680609676998159
2002-06-01,90.7061,94.64460967699816,-3.9385096769981516
2002-07-01,90.6769,94.72992018283777,-4.05302018283777
2002-08-01,90.5762,95.17184767297674,-4.595647672976739
2002-09-01,90.6531,95.12919242005694,-4.476092420056943
2002-10-01,90.4643,95.12919242005694,-4.664892420056944
2002-11-01,90.9711,95.90889230365134,-4.937792303651335
2002-12-01,90.4652,95.85086208979061,-5.385662089790614
2003-01-01,91.2361,96.82002757590814,-5.583927575908149
2003-02-01,91.3445,96.25013432700977,-4.905634327009778
2003-03-01,91.1044,96.29278957992958,-5.188389579929577
2003-04-01,90.5617,95.76555158395101,-5.203851583951007
2003-05-01,90.537,95.28096884089223,-4.743968840892222
2003-06-01,90.6527,94.48242436645388,-3.8297243664538883
2003-07-01,91.1185,95.86276742082853,-4.744267420828535
2003-08-01,90.9197,96.2620396580477,-5.342339658047692
2003-09-01,91.5059,96.34735016388731,-4.841450163887316
2003-10-01,91.6186,96.8319329069461,-5.213332906946093
2003-11-01,92.2329,97.84375364598343,-5.6108536459834255
2003-12-01,92.2602,98.41364689488181,-6.15344689488181
2004-01-01,92.4006,98.3283363890422,-5.9277363890422095
2004-02-01,92.958,98.77026387918117,-5.812263879181174
2004-03-01,92.5861,97.84375364598343,-5.257653645983424
2004-04-01,92.93,98.81291913210097,-5.882919132100966
2004-05-01,93.6013,98.81291913210097,-5.211619132100978
2004-06-01,92.871,98.68495337334156,-5.813953373341562
2004-07-01,93.5649,98.18846529924485,-4.623565299244859
2004-08-01,93.6277,97.94790874266697,-4.3202087426669635
2004-09-01,93.7467,97.1801141901105,-3.433414190110497
2004-10-01,94.5465,96.05570265325468,-1.5092026532546896
2004-11-01,94.7813,95.81514609667678,-1.0338460966767826
2004-12-01,95.5365,94.83407527952131,0.7024247204786889
2005-01-01,95.8801,94.80679498754245,1.0733050124575527
2005-02-01,96.5761,93.383796680248,3.192303319752
2005-03-01,96.4456,93.7984438784081,2.6471561215919053
2005-04-01,96.6532,93.11595983169123,3.53724016830877
2005-05-01,96.7402,92.70478226343414,4.0354177365658614
2005-06-01,97.1753,93.01874399481369,4.156556005186303
2005-07-01,96.8676,92.08032843057802,4.787271569421975
2005-08-01,97.1833,91.54118510356149,5.642114896438514
2005-09-01,95.3005,90.54473932546509,4.755760674534912
2005-10-01,96.4572,89.86225527874824,6.594944721251764
2005-11-01,97.5414,88.92383971451255,8.617560285487443
2005-12-01,98.0452,88.72593841085445,9.31926158914554
2006-01-01,98.1999,89.14058560901456,9.059314390985435
2006-02-01,98.2413,87.80289780755973,10.438402192440265
2006-03-01,98.4628,87.86092802142046,10.601871978579538
2006-04-01,98.7618,87.00782296302438,11.753977036975613
2006-05-01,98.7869,86.85257691228611,11.934323087713892
2006-06-01,99.0997,86.6393006476871,12.460399352312905
2006-07-01,99.0489,85.08833658163323,13.960563418366775
2006-08-01,99.4836,85.04568132871343,14.437918671286567
2006-09-01,99.3183,86.01484681483097,13.303453185169019
2006-10-01,99.2044,86.49942955788974,12.704970442110266
2006-11-01,99.1627,86.01484681483097,13.147853185169026
2006-12-01,100.1735,86.54208481080954,13.631415189190463
2007-01-01,99.8346,85.53026407177221,14.304335928227786
2007-02-01,100.7753,85.97219156191117,14.803108438088827
2007-03-01,100.9547,86.45677430496994,14.497925695030062
2007-04-01,101.6334,86.01484681483097,15.61855318516902
2007-05-01,101.7306,86.49942955788974,15.231170442110255
2007-06-01,101.7893,85.53026407177221,16.25903592822779
2007-07-01,101.6672,85.00302607579363,16.664173924206366
2007-08-01,101.863,86.51133488892769,15.351665111072307
2007-09-01,102.0894,86.36799416922733,15.721405830772667
2007-10-01,101.8015,87.1357887217838,14.665711278216207
2007-11-01,102.3446,88.2874805506185,14.057119449381503
2007-12-01,102.3803,87.90011364443727,14.480186355562736
2008-01-01,102.2448,89.17977123203137,13.065028767968627
2008-02-01,101.8438,93.75925825539127,8.084541744608728
2008-03-01,101.5336,94.36833712730646,7.165262872693546
2008-04-01,100.8785,96.26054321671876,4.617956783281244
2008-05-01,100.2674,95.60186983207777,4.665530167922228
2008-06-01,100.0335,94.54739384012062,5.486106159879384
2008-07-01,99.676,93.53557310108327,6.140426898916729
2008-08-01,98.1111,92.12448012482676,5.986619875173233
2008-09-01,93.7895,92.93492993030303,0.854570069696976
2008-10-01,94.7219,94.57964020333144,0.14225979666856858
2008-11-01,93.4715,95.59989664350371,-2.128396643503706
2008-12-01,90.8357,94.15805374536532,-3.3223537453653194
2009-01-01,88.57,91.77779528299129,-3.207795282991299
2009-02-01,88.031,89.0562947972588,-1.0252947972587947
2009-03-01,86.6528,87.28858483670291,-0.6357848367029106
2009-04-01,85.9344,85.96280236628601,-0.028402366286016445
2009-05-01,85.0665,83.8965056352915,1.1699943647085007
2009-06-01,84.7459,83.28395713347332,1.4619428665266838
2009-07-01,85.7027,83.49723339807234,2.205466601927654
2009-08-01,86.6426,83.01265065501357,3.6299493449864286
2009-09-01,87.4063,82.08614042181583,5.320159578184175
2009-10-01,87.6419,81.24494069445771,6.396959305542296
2009-11-01,88.0221,81.72952343751648,6.292576562483518
2009-12-01,88.3793,81.72952343751648,6.649776562483524
2010-01-01,89.3426,82.25676143349503,7.085838566504975
2010-02-01,89.6779,82.17145092765543,7.506449072344566
2010-03-01,90.2928,81.55890242583725,8.733897574162754
