,INDPRO,FEDFUNDS,UNRATE
INDPRO,1.0,-0.47950913198680156,-0.30917779798169115
FEDFUNDS,-0.47950913198680156,1.0,-0.4467128932468888
UNRATE,-0.30917779798169115,-0.4467128932468888,1.0
