,coefficient,standard_error_ols,standard_error_hc1,p_value_ols,p_value_hc1
Intercept,130.21507803537258,1.835399570790722,2.1128212847927137,3.0703802318399365e-241,0.0
FEDFUNDS,-4.265525291980353,0.19378422175103407,0.17479627448023036,1.0421750222995082e-72,1.5955455489911712e-131
UNRATE,-4.8458274305877245,0.25978823091616793,0.3479905153968962,1.751909478760573e-57,4.454741015947304e-44
